Date : 2023-11-23 14:39:13
Directory : c:\xampp\htdocs\farmaciaProFarma
Total : 775 files,  127110 codes, 45920 comments, 25077 blanks, all 198107 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard.php                                    | PHP        |         57 |          0 |         10 |         67 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\Blanks.php                             | PHP        |         69 |         10 |         18 |         97 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\CellValue.php                          | PHP        |        132 |         25 |         33 |        190 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\DateValue.php                          | PHP        |         77 |         17 |         18 |        112 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\Duplicates.php                         | PHP        |         53 |          8 |         15 |         76 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\Errors.php                             | PHP        |         67 |          8 |         18 |         93 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\Expression.php                         | PHP        |         48 |         10 |         16 |         74 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\TextValue.php                          | PHP        |        119 |         19 |         27 |        165 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\WizardAbstract.php                     | PHP        |        138 |         22 |         35 |        195 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\ConditionalFormatting\Wizard\WizardInterface.php                    | PHP        |         15 |          0 |         11 |         26 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\Fill.php                                                            | PHP        |        179 |        124 |         40 |        343 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\Font.php                                                            | PHP        |        505 |        238 |        108 |        851 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\NumberFormat.php                                                    | PHP        |        255 |        150 |         50 |        455 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\NumberFormat\BaseFormatter.php                                      | PHP        |          9 |          1 |          3 |         13 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\NumberFormat\DateFormatter.php                                      | PHP        |        147 |         48 |         17 |        212 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\NumberFormat\Formatter.php                                          | PHP        |        126 |         40 |         23 |        189 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\NumberFormat\FractionFormatter.php                                  | PHP        |         52 |          1 |         17 |         70 |
| c:\xampp\htdocs\farmaciaProFarma\app\ThirdParty\PhpSpreadsheet\Style\NumberFormat\NumberFormatter.php                                    | PHP        |        221 |         45 |         49 |        315 |
